HANDLE,REF,PLTG,OWNR,MP,ADRES,LOC,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
80,,NT,OEC,,,,,neu 24 6,,,,,21,,,,,,,,,,,,,JNTPL
81,,NT,OEC,,,,,neu 24 6,,,,,21 3,,,,,,,,,,,,,JNTPL
82,,53DD/2-7,OEC,,,,,neu 24 7,,,,,21,,,,,,,,,,,,,JNTPL
83,,53DD/2-9,OEC,,,,,neu 25 2,,,,,21 4,,,,,,,,,,,,,JNTPL
84,,53DD/2-8,OEC,,,,,neu 24 6,,,,,21 2,,,,,,,,,,,,,JNTPL
85,,53DD/1-5,OEC,,e of West Rd,,,neu 35+,,,,,23 3,,,,,,,,,,,,,JNTPL
86,,53DD/1-6,OEC,,,,,neu 35+,,,,,23 10,,,,,,,,,,,,,JNTPL
87,,53DD/1-3,OEC,,w of West Rd,,,dL 35+,,,,,22 3,,,,,,,,,,,,,JNTTRANS
88,,53DD/1-2,OEC,,,,,neu 35+,,,,,22 2,,,,,,,,,,,,,JNTPL
89,,53DD/1-1,OEC,,,,,neu 28 6,,,,,22 11,,,,,,,,,,,,,JNTPL
90,,53DD/2-10,OEC,,44187,,,dL 23 7,,,,,21,,,,,,,,,,,,,JNTTRANS
91,,53DD/1-8,OEC,,43901,,,dL 22 10,,,,,20,,,,,,,,,,,,,JNTTRANS
92,,NT,OEC,,,,,dL 27 1,,,,,22 2,,,,,,,,,,,,,JNTTRANS
93,,53DD/1-10,OEC,,,,,neu 25 8,,,,,,,21 6,,,,,,,,,,,JNTPL
94,,53DD/1-9,OEC,,,,,neu 25 5,,,,,,,21 5,,,,,,,,,,,JNTPL
95,,53DD/1-12,OEC,,,,,neu 25 8,,,,,,,21 1,,,,,,,,,,,JNTPL
96,,53DD/1-11,OEC,,,,,neu 25 1,,,,,,,21 6,,,,,,,,,,,JNTPL
97,,53DD/2-4,OEC,,43565,,neu 25 2,dL 23,,,,,,,21,,,,,,,,,,,JNTTRANS
98,,53DC/2-3,OEC,,43565,,,neu 25 6,,,,,,,20 11,,,,,,,,,,,JNTPL
99,,53DC/2-2,OEC,,43381,,,neu 25 2,,,,,,,21 10,,,,,,,,,,,JNTPL
100,,53DC/2-1,OEC,,,,,neu 25 6,,,,,,,22 1,,,,,,,,,,,JNTPL
101,,53DD/1-13,OEC,,,,,neu 27 5,,,,,,,21 5,,,,,,,,,,,JNTPL
102,,53DC/2-6,OEC,,43317,curve,,dL 22 1,,,,,,,19,,,,,,,,,,plank n,JNTTRANS
103,,NT,OEC,,beginning of curve,,,neu 25 4,,,,,,,21 4,,,,,,,,,,,JNTPL
104,,53DC/2-7,OEC,,end of curve,,,neu 25 6,,,,,,,20 11,,,,,,,,,,plank s,JNTPL
105,,NT,OEC,,,,,neu 24 1,,,,,,,20 10,,,,,,,,,,,JNTPL
106,,53DC/2-9,OEC,,,,,neu 28 5,,,,,,,21 5,,,,,,,,,,,JNTPL
