HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'1ED8,,n 35,,,,,,,fiber 28 4,,,,,,,,,,took from fence,JNTPL
'1EF4,,n 31 7,,,,,,,fiber 25 8,,,,,,,,,,,JNTPL
'1F10,n 23 7,tdl 22 7,,,,,,,fiber 20 2,,,,,,,,,,,JNTTRANS
'1F2C,sec riser 24 8,24 4,,,,,,,fiber 20 8,,,,,,,,,,,JNTPL
'1F64,,n 26,,,,,,,fiber 20 9,,,,,,,,,,ank w,JNTPL
'1F80,n 28 11,tdl 28,,,,,,,fiber 24,,,,,,,,,,,JNTTRANS
'1F9C,n 26 8,tdl 25 6,,,,,,,fiber 24,,,,,,,,,,ank w,JNTTRANS
'1FD4,,n 26 4,,,,,,,fiber 23 3,,,,,,,,,,pp guy e over 700,JNTPL
'2028,,pp 27 7,,,,,,,pp 25 9,,,,arm through bolt 18 10 telco x 2,,,,,,ank e,JNTPL
'2044,p riser 28 10,n 28 2,,,,,,,fiber 22 10,,,,,,,,,,,JNTPL
'2060,,n 27 8,,,,,,,fiber 22 4,,,,,,,,,,,JNTPL
'207C,n \ sec 24 5,tdl 22 11,,,,,,,fiber 20 9,,,,,,,,,,,JNTTRANS
'20B4,,n 28 1,,,,,,,fiber 24 3,,,,,,,,,,,JNTPL
'20D0,,n 28 8,,,,,,,fiber 21 7,,,,,,,,,,,JNTPL
'2108,,n 28 10,,,,,,,fiber 20 2,,,,,,,,,,,JNTPL
'2124,,n \ sec riser 35+,,,,,,,fiber 23 7,,,,,,,,,,,JNTPL
'2140,,n 28 1,,,,,,,fiber 21 7,,,,,,,,,,,JNTPL
'215C,,n 27,,,,,,,fiber 20 5,,,,18 11,20,,,,,,JNTPL
'2178,n 27 6,tdl 26 7,,,,,,,fiber 22,,,,19 7,21 1,,,,,ank n & w,JNTTRANS
'21B0,,sec 34 3,,31 9,,,,,fiber 30 6,,,,28 5,29 5,,,,,ank n & w,JNTPL
'2204,,n 26 6,,,,,21 2,20,fiber 22,,,,,,,,,,,JNTPL
'2220,,n 34 3,,,,,20 3,19 3,fiber 21 3,,,,,,,,,,,JNTPL
'223C,n 31 4,sec riser 28 9,,,,,20 3,19 2,fiber 21 2,,,,,,,,,,,JNTTRANS
'2258,,n \ sec 25 10,,,,,,19 11,fiber 21 1,,,,18 10,,,,,,,JNTTRANS
'2274,,n 32 6,,,,,,19,20,,,,18,,,,,,,JNTPL
'2290,,n 28 11,,,,,,21 5,22 5,,,,20 6,,,,,,,JNTPL
'22AC,,n 28,,,,,,21 4,22 4,,,,20 3,,,,,,,JNTPL
'22C8,,n 27 5,,,,,,21 2,22 2,,,,20 5,,,,,,,JNTPL
'22E4,n 28 8,sec dl 28 1,,,,,,20 5,fiber 21 9,,,,19 5,,,,,,,JNTTRANS
'2300,,n 35 +,,,,,,arm through bolt 19 9,fiber 22 1,,,,arm through bolt 19 9,,,,,,ank n,JNTPL
'231C,,height 24 3,,,,,,19 2,"fiber 23 11""",,,,18,,,,,,,TELCOPL
'2338,n 27 10,tdl 26 5,,,,,,21 4,fiber 22 4,,,,20 4,,,,,,ank s,JNTPL
'2354,,n 33,,,,,,21 1,fiber 22 5,,,,19 11,,,,,,,JNTPL
'2370,,n 31,,,,,,1711,fiber 19,,,,16 8,,,,,,,JNTPL
'238C,,tdl 26 11,n 27 5,,,,,20 5,fiber 21 4,,,,19 1,,,,,,ank s,JNTTRANS
'23A8,,n 31 9,,,,,,,,,,,,,,,,,new pole,JNTPL
'23C4,n 25 4,tdl 24 3,,,,,,,,,,,,,,,,,new pole,JNTTRANS
'23E0,sec 30 3,sec dl 29 2,,,,,,,,,,,,,,,,,new pole - ank n,JNTPL
'23FC,,n 28,,,,,,21 6,fiber 22 6,,,,20 5,,,,,,,JNTPL
'2418,,n 25 8,,,,,,20 2,fiber 21 4,,,,18 11,,,,,,,JNTPL
'2434,,n 31 9,,,,,,21 5,fiber 22 7,,,,20 5,,,,,,,JNTPL
'2450,n 28 10,tdl 27 11,,,,,,22 5,fiber 22 6,,,,21 5,,,,,,,JNTTRANS
'246C,n 27 4,tdl 26 5,,,,,,20 9,fiber 21 9,,,,19 9,,,,,,,JNTTRANS
'2488,,n 26 9,,,,,,natt,natt,,,,natt,,,,,,,JNTPL
'24A4,,n 28 10,,,,,,21,fiber 21 6,,,,20,,,,,,,JNTPL
'24C0,,n 26 6,,,,,,21 6,fiber 22 10,,,,20,,,,,,ank n & e,JNTPL
'24DC,,n 28 6,,,,,,23 1,fiber 24 1,,,,22 1,,,,,,ank s & w,JNTPL
'24F8,,n 30 4,,,,,,21 11,fiber 22 10,,,,20 10,,,,,,,JNTPL
'2514,,n 30,,,,,,22,fiber 23,,,,20 10,,,,,,,JNTPL
'2530,,n 37 6,,,,,,20 11,fiber 21 11,,,,19 11,,,,,,ank s,JNTPL
'254C,,n 30 8,,,,,,,fiber 25 10,,,,,,,,,,ank n,JNTPL
'2568,,n 30 7,,,,,,,fiber 26,,,,,,,,,,,JNTTRANS
'2584,,n 27 7,,,,,,,fiber 23 2,,,,,,,,,,ank n,JNTPL
'25A0,,n 27 11,,,,,,,fiber 24 10,,,,22 11,,,,,,ank s,JNTPL
'25BC,,n 26 11,,,,,,,fiber 21 7,,,,21 3,,,,,,,JNTPL
'25D8,,n 29 5,,,,,,,fiber 21 4,,,,20 5,,,,,,,JNTPL
'25F4,,n \ sec 28 7,,,,,,,fiber 20 8,,,,19 8,,,,,,,JNTPL
'2610,sec 29 11,sec dl 29 4,,,,,,,fiber 23,,,,21,21 10,,,,,,JNTPL
'2D64,sec 25 4,tdl 24 5,,,,,18 1,,fiber 19 1,,,,17 1,,,,,,ank s,JNTTRANS
'2D48,sec 26 2,tdl 25 1,,,,,20 2,,fiber 21,,,,19,,,,,,,JNTTRANS
'2D2C,sec 27 1,sec dl 26 3,,,,,20 4,,fiber 19 3,,,,18,,,,,,ank s,JNTPL
'2D10,sec 27 7,sec dl 26 11,,,,,20 4,,fiber 21 3,,,,19 4,,,,,,ank n,JNTPL
'2CF4,sec 31 5,sec dl 28,,,,,19,,fiber 19 10,,,,17 11,,,,,,,JNTTRANS
'2CD8,sec 33 9,sec dl 32 5,,,,,18 8,,fiber 19 7,,,,18 8,,,,,,,JNTPL
'2CBC,,n 33,,,,,19 2,,fiber 20 1,,,,18 2,,,,,,,JNTPL
'2CA0,,n 33,,,,,19 11,,fiber 20 11,,,,18 11,,,,,,,JNTPL
'2C84,,n 30 4,,,,,19 11,,fiber 20 11,,,,18 11,,,,,,,JNTPL
'2C68,sec 32 3,sec dl 30 8,,,,,21 5,,fiber 22 5,,,,20 5,,,,,,,JNTPL
'2C30,sec 34 4,sec dl 33 3,,,,,20,,fiber 21 3,,,,19 3,,,,,,,JNTPL
'2C14,sec 31 1,tdl 30 1,,,,,20 9,,fiber 21 8,,,,19 9,,,,,,,JNTTRANS
'2BF8,,sec \ n 34 6,,,,,20 6,,fiber 22 6,,,,21 4,,,,,,,JNTPL
