HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'2B88,,sec 35+,,,,,24 4,,22 11,,,,,,,,,,ank e,JNTPL
'2B6C,sec \ n 26 8,tdl 24 6,,,,,20 6,,19 7,,18 7,,17 10,,,,,,ank w,JNTTRANS
'2B50,,pp 27 11,,,,,,,24 1,,,,22 11,,,,,,ank s,JNTPL
'2B34,n \ sec 31 8,tdl 30 9,,dl 26 11,,,23 5,26 1,24 4,,25 6,,22,22 4,23 4,,,,ank s,JNTTRANS
'2B18,n 28 9,tdl 27 3,,,,,natt,,21 6,,,,20 6,19 10,,,,,ank e,JNTPL
'2AFC,n 27 7,tdl 26 7,,,,,21 7,,20 11,,,,18 9,20 1,23 9,,,,ank e,JNTTRANS
'2AE0,n \ sec 27 4,tdl 26 3,,,,,23 5,,22 8,,,,,,,,,,,JNTTRANS
'2AA8,,sec 28,,dl 23 1,,,pp 22 1,21 6,natt,,,,,,,,,,ank n,JNTPL
'2A8C,n \ sec 30 11,sec dl 29 10,24 5 \ 26 9,dl 22 9,,,24 4,23 9,22 9,,,,21 3,22 4,,,,,ank w,JNTPL
'2A70,n 29 10,sec riser 27 7,23 7,sec 29 2,,,,22 7,21 8,,,,20 5,,,,,,,JNTPL
'2A54,tdl 27 2,n 24,21 3,dl 24 5,,,,21 5,20 5,,,,20 1,,,,,,,JNTPL
'2A38,,sec dl 28 4,,,,,,23 11,22 11,,,,22,,,,,,,JNTPL
